observation_date,NAEXKP04NOQ189S
1978-01-01,97632000000.00000
1978-04-01,95032000000.00000
1978-07-01,94531000000.00000
1978-10-01,99612000000.00000
1979-01-01,94339000000.00000
1979-04-01,101450000000.00000
1979-07-01,101692000000.00000
1979-10-01,96766000000.00000
1980-01-01,93069000000.00000
1980-04-01,97877000000.00000
1980-07-01,100943000000.00000
1980-10-01,97629000000.00000
1981-01-01,102702000000.00000
1981-04-01,99029000000.00000
1981-07-01,103838000000.00000
1981-10-01,103581000000.00000
1982-01-01,107576000000.00000
1982-04-01,100468000000.00000
1982-07-01,100932000000.00000
1982-10-01,103425000000.00000
1983-01-01,111538000000.00000
1983-04-01,108774000000.00000
1983-07-01,104915000000.00000
1983-10-01,109871000000.00000
1984-01-01,108666000000.00000
1984-04-01,114812000000.00000
1984-07-01,111348000000.00000
1984-10-01,105912000000.00000
1985-01-01,112557000000.00000
1985-04-01,107327000000.00000
1985-07-01,112626000000.00000
1985-10-01,94283000000.00000
1986-01-01,115018000000.00000
1986-04-01,119398000000.00000
1986-07-01,115164000000.00000
1986-10-01,108792000000.00000
1987-01-01,111301000000.00000
1987-04-01,110602000000.00000
1987-07-01,122121000000.00000
1987-10-01,117879000000.00000
1988-01-01,112522000000.00000
1988-04-01,117787000000.00000
1988-07-01,111233000000.00000
1988-10-01,115696000000.00000
1989-01-01,102764000000.00000
1989-04-01,104150000000.00000
1989-07-01,105727000000.00000
1989-10-01,113755000000.00000
1990-01-01,109312000000.00000
1990-04-01,97064000000.00000
1990-07-01,87603000000.00000
1990-10-01,88445000000.00000
1991-01-01,97277000000.00000
1991-04-01,90339000000.00000
1991-07-01,102137000000.00000
1991-10-01,91153000000.00000
1992-01-01,81370000000.00000
1992-04-01,95184000000.00000
1992-07-01,94457000000.00000
1992-10-01,102384000000.00000
1993-01-01,92017000000.00000
1993-04-01,97387000000.00000
1993-07-01,100163000000.00000
1993-10-01,103452000000.00000
1994-01-01,97385000000.00000
1994-04-01,107078000000.00000
1994-07-01,103373000000.00000
1994-10-01,105827000000.00000
1995-01-01,103177000000.00000
1995-04-01,103414000000.00000
1995-07-01,106353000000.00000
1995-10-01,114070000000.00000
1996-01-01,121333000000.00000
1996-04-01,120057000000.00000
1996-07-01,113699000000.00000
1996-10-01,111895000000.00000
1997-01-01,123881000000.00000
1997-04-01,138449000000.00000
1997-07-01,135215000000.00000
1997-10-01,138366000000.00000
1998-01-01,140536000000.00000
1998-04-01,145649000000.00000
1998-07-01,152615000000.00000
1998-10-01,163086000000.00000
1999-01-01,132800999999.99998
1999-04-01,141462000000.00000
1999-07-01,144245000000.00000
1999-10-01,153713000000.00000
2000-01-01,141972000000.00000
2000-04-01,139933000000.00000
2000-07-01,134502000000.00002
2000-10-01,136989000000.00000
2001-01-01,140559000000.00000
2001-04-01,137431000000.00002
2001-07-01,139877000000.00000
2001-10-01,132138000000.00000
2002-01-01,136622999999.99998
2002-04-01,133782000000.00002
2002-07-01,139171000000.00000
2002-10-01,138485000000.00000
2003-01-01,142163000000.00000
2003-04-01,137610000000.00000
2003-07-01,140798000000.00000
2003-10-01,130169999999.99998
2004-01-01,142286000000.00000
2004-04-01,145380000000.00000
2004-07-01,154026000000.00000
2004-10-01,164932000000.00000
2005-01-01,160960000000.00000
2005-04-01,168301000000.00000
2005-07-01,168179000000.00000
2005-10-01,181277000000.00000
2006-01-01,177054000000.00000
2006-04-01,188371000000.00000
2006-07-01,187648000000.00000
2006-10-01,187180000000.00000
2007-01-01,196652000000.00000
2007-04-01,205116000000.00000
2007-07-01,211675000000.00000
2007-10-01,217507000000.00000
2008-01-01,210243000000.00000
2008-04-01,207367000000.00000
2008-07-01,213130000000.00000
2008-10-01,209598000000.00000
2009-01-01,198334000000.00000
2009-04-01,193585000000.00000
2009-07-01,188480000000.00000
2009-10-01,200982000000.00000
2010-01-01,180007000000.00000
2010-04-01,183376000000.00000
2010-07-01,180203000000.00000
2010-10-01,187621000000.00000
2011-01-01,197870000000.00000
2011-04-01,191648000000.00000
2011-07-01,196768000000.00000
2011-10-01,199404000000.00000
2012-01-01,201401000000.00000
2012-04-01,203816000000.00000
2012-07-01,214313000000.00000
2012-10-01,225421000000.00000
2013-01-01,213691000000.00000
2013-04-01,225971000000.00000
2013-07-01,228878000000.00000
2013-10-01,229932000000.00000
2014-01-01,225017000000.00000
2014-04-01,227394000000.00000
2014-07-01,224113000000.00000
2014-10-01,219684000000.00000
2015-01-01,217458000000.00000
2015-04-01,217384000000.00000
2015-07-01,212937000000.00000
2015-10-01,212547000000.00000
2016-01-01,213476000000.00000
2016-04-01,225387000000.00000
2016-07-01,229632000000.00000
2016-10-01,225642000000.00000
2017-01-01,232174000000.00000
2017-04-01,228969000000.00000
2017-07-01,225485000000.00000
2017-10-01,230929000000.00000
2018-01-01,225339000000.00000
2018-04-01,236174000000.00000
2018-07-01,235897000000.00000
2018-10-01,240411000000.00000
2019-01-01,246552000000.00000
2019-04-01,257797000000.00003
2019-07-01,261034000000.00000
2019-10-01,262153000000.00003
2020-01-01,253369000000.00000
2020-04-01,243154000000.00000
2020-07-01,242611000000.00000
2020-10-01,246662000000.00000
2021-01-01,250179000000.00000
2021-04-01,243514000000.00000
2021-07-01,242810000000.00000
2021-10-01,255728000000.00000
2022-01-01,260445000000.00000
2022-04-01,259702999999.99997
2022-07-01,260975000000.00003
2022-10-01,262836000000.00000
2023-01-01,260163000000.00000
2023-04-01,261862000000.00003
2023-07-01,256363000000.00000
